Time,Ano,Rodada,Posicao
Bahia,2020,1,7
Bahia,2020,2,4
Bahia,2020,3,4
Bahia,2020,4,8
Bahia,2020,5,8
Bahia,2020,6,12
Bahia,2020,7,12
Bahia,2020,8,15
Bahia,2020,9,16
Bahia,2020,10,19
Bahia,2020,11,16
Bahia,2020,12,9
Bahia,2020,13,16
Bahia,2020,14,13
Bahia,2020,15,16
Bahia,2020,16,16
Bahia,2020,17,12
Bahia,2020,18,15
Bahia,2020,19,9
Bahia,2020,20,14
Bahia,2020,21,9
Bahia,2020,22,10
Bahia,2020,23,13
Bahia,2020,24,13
Bahia,2020,25,16
Bahia,2020,26,16
Bahia,2020,27,16
Bahia,2020,28,17
Bahia,2020,29,17
Bahia,2020,30,15
Bahia,2020,31,16
Bahia,2020,32,17
Bahia,2020,33,15
Bahia,2020,34,17
Bahia,2020,35,16
Bahia,2020,36,16
Bahia,2020,37,15
Bahia,2020,38,14
Coritiba,2020,1,17
Coritiba,2020,2,18
Coritiba,2020,3,20
Coritiba,2020,4,20
Coritiba,2020,5,20
Coritiba,2020,6,14
Coritiba,2020,7,15
Coritiba,2020,8,17
Coritiba,2020,9,18
Coritiba,2020,10,19
Coritiba,2020,11,16
Coritiba,2020,12,17
Coritiba,2020,13,17
Coritiba,2020,14,18
Coritiba,2020,15,18
Coritiba,2020,16,17
Coritiba,2020,17,18
Coritiba,2020,18,19
Coritiba,2020,19,17
Coritiba,2020,20,15
Coritiba,2020,21,18
Coritiba,2020,22,18
Coritiba,2020,23,18
Coritiba,2020,24,18
Coritiba,2020,25,18
Coritiba,2020,26,19
Coritiba,2020,27,20
Coritiba,2020,28,20
Coritiba,2020,29,20
Coritiba,2020,30,19
Coritiba,2020,31,18
Coritiba,2020,32,19
Coritiba,2020,33,19
Coritiba,2020,34,19
Coritiba,2020,35,19
Coritiba,2020,36,19
Coritiba,2020,37,19
Coritiba,2020,38,19
Flamengo RJ,2020,1,18
Flamengo RJ,2020,2,20
Flamengo RJ,2020,3,12
Flamengo RJ,2020,4,17
Flamengo RJ,2020,5,13
Flamengo RJ,2020,6,9
Flamengo RJ,2020,7,6
Flamengo RJ,2020,8,5
Flamengo RJ,2020,9,2
Flamengo RJ,2020,10,5
Flamengo RJ,2020,11,6
Flamengo RJ,2020,12,4
Flamengo RJ,2020,13,3
Flamengo RJ,2020,14,2
Flamengo RJ,2020,15,6
Flamengo RJ,2020,16,3
Flamengo RJ,2020,17,2
Flamengo RJ,2020,18,2
Flamengo RJ,2020,19,2
Flamengo RJ,2020,20,3
Flamengo RJ,2020,21,4
Flamengo RJ,2020,22,2
Flamengo RJ,2020,23,3
Flamengo RJ,2020,24,3
Flamengo RJ,2020,25,2
Flamengo RJ,2020,26,3
Flamengo RJ,2020,27,4
Flamengo RJ,2020,28,4
Flamengo RJ,2020,29,4
Flamengo RJ,2020,30,3
Flamengo RJ,2020,31,2
Flamengo RJ,2020,32,3
Flamengo RJ,2020,33,4
Flamengo RJ,2020,34,4
Flamengo RJ,2020,35,4
Flamengo RJ,2020,36,4
Flamengo RJ,2020,37,1
Flamengo RJ,2020,38,1
Sport Recife,2020,1,2
Sport Recife,2020,2,9
Sport Recife,2020,3,10
Sport Recife,2020,4,16
Sport Recife,2020,5,18
Sport Recife,2020,6,19
Sport Recife,2020,7,14
Sport Recife,2020,8,9
Sport Recife,2020,9,11
Sport Recife,2020,10,14
Sport Recife,2020,11,10
Sport Recife,2020,12,8
Sport Recife,2020,13,5
Sport Recife,2020,14,8
Sport Recife,2020,15,9
Sport Recife,2020,16,10
Sport Recife,2020,17,11
Sport Recife,2020,18,12
Sport Recife,2020,19,9
Sport Recife,2020,20,10
Sport Recife,2020,21,11
Sport Recife,2020,22,15
Sport Recife,2020,23,16
Sport Recife,2020,24,16
Sport Recife,2020,25,15
Sport Recife,2020,26,15
Sport Recife,2020,27,15
Sport Recife,2020,28,14
Sport Recife,2020,29,14
Sport Recife,2020,30,14
Sport Recife,2020,31,16
Sport Recife,2020,32,15
Sport Recife,2020,33,16
Sport Recife,2020,34,14
Sport Recife,2020,35,14
Sport Recife,2020,36,14
Sport Recife,2020,37,14
Sport Recife,2020,38,15
Atletico-MG,2020,1,4
Atletico-MG,2020,2,3
Atletico-MG,2020,3,1
Atletico-MG,2020,4,3
Atletico-MG,2020,5,3
Atletico-MG,2020,6,5
Atletico-MG,2020,7,3
Atletico-MG,2020,8,3
Atletico-MG,2020,9,5
Atletico-MG,2020,10,2
Atletico-MG,2020,11,1
Atletico-MG,2020,12,1
Atletico-MG,2020,13,1
Atletico-MG,2020,14,1
Atletico-MG,2020,15,1
Atletico-MG,2020,16,1
Atletico-MG,2020,17,3
Atletico-MG,2020,18,3
Atletico-MG,2020,19,3
Atletico-MG,2020,20,2
Atletico-MG,2020,21,1
Atletico-MG,2020,22,1
Atletico-MG,2020,23,2
Atletico-MG,2020,24,2
Atletico-MG,2020,25,2
Atletico-MG,2020,26,3
Atletico-MG,2020,27,2
Atletico-MG,2020,28,3
Atletico-MG,2020,29,3
Atletico-MG,2020,30,4
Atletico-MG,2020,31,4
Atletico-MG,2020,32,3
Atletico-MG,2020,33,3
Atletico-MG,2020,34,3
Atletico-MG,2020,35,3
Atletico-MG,2020,36,4
Atletico-MG,2020,37,3
Atletico-MG,2020,38,3
Atletico-GO,2020,1,5
Atletico-GO,2020,2,7
Atletico-GO,2020,3,12
Atletico-GO,2020,4,17
Atletico-GO,2020,5,20
Atletico-GO,2020,6,19
Atletico-GO,2020,7,14
Atletico-GO,2020,8,18
Atletico-GO,2020,9,11
Atletico-GO,2020,10,14
Atletico-GO,2020,11,13
Atletico-GO,2020,12,8
Atletico-GO,2020,13,11
Atletico-GO,2020,14,16
Atletico-GO,2020,15,12
Atletico-GO,2020,16,9
Atletico-GO,2020,17,9
Atletico-GO,2020,18,11
Atletico-GO,2020,19,13
Atletico-GO,2020,20,14
Atletico-GO,2020,21,15
Atletico-GO,2020,22,12
Atletico-GO,2020,23,14
Atletico-GO,2020,24,15
Atletico-GO,2020,25,12
Atletico-GO,2020,26,11
Atletico-GO,2020,27,12
Atletico-GO,2020,28,12
Atletico-GO,2020,29,12
Atletico-GO,2020,30,13
Atletico-GO,2020,31,13
Atletico-GO,2020,32,13
Atletico-GO,2020,33,12
Atletico-GO,2020,34,13
Atletico-GO,2020,35,13
Atletico-GO,2020,36,13
Atletico-GO,2020,37,13
Atletico-GO,2020,38,13
Botafogo RJ,2020,1,11
Botafogo RJ,2020,2,14
Botafogo RJ,2020,3,8
Botafogo RJ,2020,4,11
Botafogo RJ,2020,5,15
Botafogo RJ,2020,6,17
Botafogo RJ,2020,7,15
Botafogo RJ,2020,8,16
Botafogo RJ,2020,9,17
Botafogo RJ,2020,10,18
Botafogo RJ,2020,11,19
Botafogo RJ,2020,12,10
Botafogo RJ,2020,13,19
Botafogo RJ,2020,14,17
Botafogo RJ,2020,15,13
Botafogo RJ,2020,16,15
Botafogo RJ,2020,17,14
Botafogo RJ,2020,18,14
Botafogo RJ,2020,19,17
Botafogo RJ,2020,20,19
Botafogo RJ,2020,21,19
Botafogo RJ,2020,22,19
Botafogo RJ,2020,23,19
Botafogo RJ,2020,24,16
Botafogo RJ,2020,25,20
Botafogo RJ,2020,26,18
Botafogo RJ,2020,27,19
Botafogo RJ,2020,28,19
Botafogo RJ,2020,29,19
Botafogo RJ,2020,30,20
Botafogo RJ,2020,31,20
Botafogo RJ,2020,32,20
Botafogo RJ,2020,33,20
Botafogo RJ,2020,34,20
Botafogo RJ,2020,35,20
Botafogo RJ,2020,36,20
Botafogo RJ,2020,37,20
Botafogo RJ,2020,38,20
Sao Paulo,2020,1,8
Sao Paulo,2020,2,11
Sao Paulo,2020,3,12
Sao Paulo,2020,4,13
Sao Paulo,2020,5,5
Sao Paulo,2020,6,3
Sao Paulo,2020,7,2
Sao Paulo,2020,8,2
Sao Paulo,2020,9,2
Sao Paulo,2020,10,3
Sao Paulo,2020,11,3
Sao Paulo,2020,12,7
Sao Paulo,2020,13,4
Sao Paulo,2020,14,4
Sao Paulo,2020,15,4
Sao Paulo,2020,16,5
Sao Paulo,2020,17,4
Sao Paulo,2020,18,3
Sao Paulo,2020,19,2
Sao Paulo,2020,20,2
Sao Paulo,2020,21,3
Sao Paulo,2020,22,3
Sao Paulo,2020,23,1
Sao Paulo,2020,24,5
Sao Paulo,2020,25,1
Sao Paulo,2020,26,1
Sao Paulo,2020,27,1
Sao Paulo,2020,28,1
Sao Paulo,2020,29,1
Sao Paulo,2020,30,1
Sao Paulo,2020,31,2
Sao Paulo,2020,32,3
Sao Paulo,2020,33,4
Sao Paulo,2020,34,4
Sao Paulo,2020,35,3
Sao Paulo,2020,36,4
Sao Paulo,2020,37,4
Sao Paulo,2020,38,4
Gremio,2020,1,3
Gremio,2020,2,4
Gremio,2020,3,6
Gremio,2020,4,7
Gremio,2020,5,9
Gremio,2020,6,12
Gremio,2020,7,16
Gremio,2020,8,14
Gremio,2020,9,10
Gremio,2020,10,12
Gremio,2020,11,15
Gremio,2020,12,15
Gremio,2020,13,11
Gremio,2020,14,14
Gremio,2020,15,11
Gremio,2020,16,10
Gremio,2020,17,9
Gremio,2020,18,8
Gremio,2020,19,8
Gremio,2020,20,7
Gremio,2020,21,8
Gremio,2020,22,7
Gremio,2020,23,4
Gremio,2020,24,6
Gremio,2020,25,5
Gremio,2020,26,5
Gremio,2020,27,5
Gremio,2020,28,5
Gremio,2020,29,6
Gremio,2020,30,6
Gremio,2020,31,6
Gremio,2020,32,7
Gremio,2020,33,7
Gremio,2020,34,7
Gremio,2020,35,6
Gremio,2020,36,7
Gremio,2020,37,6
Gremio,2020,38,6
Santos,2020,1,6
Santos,2020,2,15
Santos,2020,3,8
Santos,2020,4,5
Santos,2020,5,6
Santos,2020,6,10
Santos,2020,7,11
Santos,2020,8,7
Santos,2020,9,7
Santos,2020,10,7
Santos,2020,11,7
Santos,2020,12,9
Santos,2020,13,6
Santos,2020,14,7
Santos,2020,15,6
Santos,2020,16,6
Santos,2020,17,5
Santos,2020,18,6
Santos,2020,19,6
Santos,2020,20,7
Santos,2020,21,6
Santos,2020,22,7
Santos,2020,23,6
Santos,2020,24,8
Santos,2020,25,8
Santos,2020,26,8
Santos,2020,27,8
Santos,2020,28,9
Santos,2020,29,8
Santos,2020,30,9
Santos,2020,31,10
Santos,2020,32,8
Santos,2020,33,11
Santos,2020,34,11
Santos,2020,35,8
Santos,2020,36,11
Santos,2020,37,8
Santos,2020,38,8
Flamengo RJ,2021,1,6
Flamengo RJ,2021,2,3
Flamengo RJ,2021,3,10
Flamengo RJ,2021,4,7
Flamengo RJ,2021,5,10
Flamengo RJ,2021,6,6
Flamengo RJ,2021,7,10
Flamengo RJ,2021,8,11
Flamengo RJ,2021,9,8
Flamengo RJ,2021,10,6
Flamengo RJ,2021,11,6
Flamengo RJ,2021,12,5
Flamengo RJ,2021,13,5
Flamengo RJ,2021,14,5
Flamengo RJ,2021,15,5
Flamengo RJ,2021,16,5
Flamengo RJ,2021,17,3
Flamengo RJ,2021,18,3
Flamengo RJ,2021,19,4
Flamengo RJ,2021,20,3
Flamengo RJ,2021,21,2
Flamengo RJ,2021,22,2
Flamengo RJ,2021,23,2
Flamengo RJ,2021,24,2
Flamengo RJ,2021,25,4
Flamengo RJ,2021,26,3
Flamengo RJ,2021,27,9
Flamengo RJ,2021,28,5
Flamengo RJ,2021,29,3
Flamengo RJ,2021,30,3
Flamengo RJ,2021,31,3
Flamengo RJ,2021,32,2
Flamengo RJ,2021,33,2
Flamengo RJ,2021,34,8
Flamengo RJ,2021,35,2
Flamengo RJ,2021,36,2
Flamengo RJ,2021,37,2
Flamengo RJ,2021,38,2
Fortaleza,2021,1,4
Fortaleza,2021,2,1
Fortaleza,2021,3,1
Fortaleza,2021,4,1
Fortaleza,2021,5,2
Fortaleza,2021,6,3
Fortaleza,2021,7,4
Fortaleza,2021,8,4
Fortaleza,2021,9,5
Fortaleza,2021,10,5
Fortaleza,2021,11,4
Fortaleza,2021,12,3
Fortaleza,2021,13,3
Fortaleza,2021,14,3
Fortaleza,2021,15,3
Fortaleza,2021,16,3
Fortaleza,2021,17,3
Fortaleza,2021,18,3
Fortaleza,2021,19,3
Fortaleza,2021,20,4
Fortaleza,2021,21,4
Fortaleza,2021,22,3
Fortaleza,2021,23,4
Fortaleza,2021,24,4
Fortaleza,2021,25,4
Fortaleza,2021,26,3
Fortaleza,2021,27,4
Fortaleza,2021,28,3
Fortaleza,2021,29,5
Fortaleza,2021,30,5
Fortaleza,2021,31,4
Fortaleza,2021,32,6
Fortaleza,2021,33,6
Fortaleza,2021,34,5
Fortaleza,2021,35,5
Fortaleza,2021,36,5
Fortaleza,2021,37,5
Fortaleza,2021,38,4
Palmeiras,2021,1,17
Palmeiras,2021,2,7
Palmeiras,2021,3,9
Palmeiras,2021,4,6
Palmeiras,2021,5,4
Palmeiras,2021,6,4
Palmeiras,2021,7,3
Palmeiras,2021,8,3
Palmeiras,2021,9,3
Palmeiras,2021,10,1
Palmeiras,2021,11,1
Palmeiras,2021,12,1
Palmeiras,2021,13,1
Palmeiras,2021,14,1
Palmeiras,2021,15,2
Palmeiras,2021,16,2
Palmeiras,2021,17,2
Palmeiras,2021,18,2
Palmeiras,2021,19,2
Palmeiras,2021,20,2
Palmeiras,2021,21,2
Palmeiras,2021,22,2
Palmeiras,2021,23,3
Palmeiras,2021,24,3
Palmeiras,2021,25,5
Palmeiras,2021,26,3
Palmeiras,2021,27,2
Palmeiras,2021,28,2
Palmeiras,2021,29,2
Palmeiras,2021,30,2
Palmeiras,2021,31,2
Palmeiras,2021,32,2
Palmeiras,2021,33,3
Palmeiras,2021,34,3
Palmeiras,2021,35,3
Palmeiras,2021,36,3
Palmeiras,2021,37,3
Palmeiras,2021,38,3
Chapecoense-SC,2021,1,19
Chapecoense-SC,2021,2,20
Chapecoense-SC,2021,3,18
Chapecoense-SC,2021,4,17
Chapecoense-SC,2021,5,16
Chapecoense-SC,2021,6,18
Chapecoense-SC,2021,7,18
Chapecoense-SC,2021,8,19
Chapecoense-SC,2021,9,19
Chapecoense-SC,2021,10,19
Chapecoense-SC,2021,11,19
Chapecoense-SC,2021,12,20
Chapecoense-SC,2021,13,20
Chapecoense-SC,2021,14,20
Chapecoense-SC,2021,15,20
Chapecoense-SC,2021,16,20
Chapecoense-SC,2021,17,20
Chapecoense-SC,2021,18,20
Chapecoense-SC,2021,19,20
Chapecoense-SC,2021,20,20
Chapecoense-SC,2021,21,20
Chapecoense-SC,2021,22,20
Chapecoense-SC,2021,23,20
Chapecoense-SC,2021,24,20
Chapecoense-SC,2021,25,20
Chapecoense-SC,2021,26,20
Chapecoense-SC,2021,27,20
Chapecoense-SC,2021,28,20
Chapecoense-SC,2021,29,20
Chapecoense-SC,2021,30,20
Chapecoense-SC,2021,31,20
Chapecoense-SC,2021,32,20
Chapecoense-SC,2021,33,20
Chapecoense-SC,2021,34,20
Chapecoense-SC,2021,35,20
Chapecoense-SC,2021,36,20
Chapecoense-SC,2021,37,20
Chapecoense-SC,2021,38,20
Atletico-MG,2021,1,15
Atletico-MG,2021,2,9
Atletico-MG,2021,3,5
Atletico-MG,2021,4,3
Atletico-MG,2021,5,5
Atletico-MG,2021,6,6
Atletico-MG,2021,7,8
Atletico-MG,2021,8,5
Atletico-MG,2021,9,4
Atletico-MG,2021,10,4
Atletico-MG,2021,11,3
Atletico-MG,2021,12,2
Atletico-MG,2021,13,2
Atletico-MG,2021,14,2
Atletico-MG,2021,15,1
Atletico-MG,2021,16,1
Atletico-MG,2021,17,1
Atletico-MG,2021,18,1
Atletico-MG,2021,19,1
Atletico-MG,2021,20,1
Atletico-MG,2021,21,1
Atletico-MG,2021,22,1
Atletico-MG,2021,23,1
Atletico-MG,2021,24,1
Atletico-MG,2021,25,1
Atletico-MG,2021,26,1
Atletico-MG,2021,27,1
Atletico-MG,2021,28,1
Atletico-MG,2021,29,1
Atletico-MG,2021,30,1
Atletico-MG,2021,31,1
